"week","raccoon1","raccoon2","seconds"
1,2,9,119
1,2,3,18
1,2,22,630
1,3,8,12
1,3,9,52
1,3,10,114
1,3,19,446
1,3,20,8202
1,3,22,261
1,4,7,137
1,4,10,31
1,4,11,5
1,4,12,14
1,4,14,49
1,4,15,47
1,4,17,17
1,4,18,99
1,4,23,30
1,5,14,6
1,5,22,329
1,6,10,2
1,6,20,14
1,6,21,30
1,6,22,39
1,7,12,2136
1,7,10,45
1,7,11,119759
1,8,10,114
1,8,11,3
1,9,10,7
1,9,11,264
1,9,12,5
1,9,19,548
1,9,20,46
1,9,22,115
1,10,11,33
1,10,12,19
1,10,17,30
1,10,18,92
1,10,19,16
1,10,23,3
1,10,24,13
1,11,12,1201
1,11,13,9
1,11,15,34
1,11,19,26
1,12,14,14
1,15,16,27
1,15,17,211
1,15,18,13673
1,15,23,1412
1,15,24,145
1,16,21,104
1,16,24,12
1,17,18,83
1,17,21,2
1,17,23,180
1,17,24,160
1,18,23,675
1,19,20,33
1,19,22,100
1,20,22,165
1,23,24,14
2,2,9,270
2,2,3,63
2,2,19,575
2,2,22,161
2,3,8,31
2,3,9,162
2,3,19,378
2,3,20,105856
2,3,22,68
2,4,7,17
2,4,11,191
2,4,12,15
2,4,15,137
2,4,17,10
2,4,18,469
2,4,23,136
2,5,13,29
2,5,14,14
2,6,20,561
2,7,8,18
2,7,9,98
2,7,11,54558
2,7,12,3287
2,7,13,12
2,7,14,89
2,8,11,31
2,8,14,65
2,9,11,63
2,9,12,149
2,9,19,532
2,9,22,233
2,11,12,3889
2,11,13,9
2,11,15,38
2,11,16,174
2,11,23,12
2,12,14,1835
2,12,23,54
2,13,14,22
2,15,16,2
2,15,17,134
2,15,18,7349
2,15,23,754
2,17,18,48
2,17,21,24
2,17,23,25
2,17,24,37
2,18,23,508
2,19,22,1360
2,20,22,19
3,2,9,2
3,2,19,9
3,2,22,14
3,3,9,6
3,3,19,7
3,3,20,14
3,3,22,15
3,4,10,4
3,4,12,2
3,4,15,2
3,4,16,3
3,4,18,13
3,4,23,6
3,4,24,2
3,5,9,17
3,5,19,1
3,5,13,2
3,5,14,12
3,6,17,2
3,7,10,2
3,7,11,41
3,7,12,1
3,7,8,3
3,8,10,12
3,9,14,13
3,9,19,6
3,9,20,1
3,9,22,11
3,10,13,3
3,11,12,16
3,11,15,4
3,11,16,2
3,11,18,6
3,11,23,18
3,13,14,2
3,15,17,12
3,15,18,282
3,15,23,30
3,15,24,2
3,16,17,2
3,16,20,2
3,16,23,2
3,16,24,2
3,17,18,3
3,17,21,2
3,17,23,9
3,17,24,6
3,18,23,6
3,19,22,8
3,20,22,3
4,1,3,3
4,1,10,9
4,1,12,1
4,1,16,2
4,1,18,4
4,1,21,3
4,2,9,8
4,2,3,19
4,2,19,5
4,2,22,4
4,3,5,2
4,3,7,2
4,3,8,4
4,3,9,3
4,3,10,5
4,3,11,3
4,3,12,10
4,3,15,2
4,3,18,4
4,4,5,6
4,4,7,2
4,4,8,2
4,4,10,5
4,4,11,2
4,4,12,11
4,4,15,4
4,4,16,18
4,4,18,6
4,4,19,4
4,4,23,1
4,4,24,1
4,5,7,1
4,5,8,20
4,5,9,2
4,5,10,7
4,5,11,8
4,5,12,4
4,5,13,2
4,5,16,30
4,5,19,1
4,6,19,1
4,6,20,19
4,7,8,14
4,7,10,1
4,7,11,195
4,7,12,22
4,7,14,2
4,7,15,2
4,7,16,2
4,7,18,9
4,7,19,2
4,7,23,2
4,8,9,2
4,8,10,6
4,8,11,11
4,8,12,3
4,8,14,7
4,8,15,4
4,8,16,23
4,8,18,4
4,8,19,4
4,8,23,8
4,9,16,2
4,9,19,12
4,9,20,2
4,9,22,17
4,10,12,5
4,10,14,1
4,10,15,24
4,10,16,3
4,10,18,5
4,10,21,6
4,11,12,21
4,11,14,4
4,11,15,2
4,11,16,10
4,11,19,8
4,12,14,1
4,12,15,2
4,12,16,10
4,12,18,2
4,12,19,22
4,12,23,2
4,13,14,2
4,14,16,6
4,15,17,4
4,15,18,134
4,15,23,43
4,15,24,2
4,16,17,10
4,16,18,1
4,16,19,17
4,16,20,4
4,16,23,2
4,16,24,2
4,17,23,6
4,18,23,29
4,18,24,2
4,19,20,2
4,19,22,10
5,1,4,933
5,1,5,72
5,1,9,34
5,1,12,371
5,1,13,1342
5,1,18,23
5,1,19,624
5,1,21,105
5,1,22,13
5,2,17,52
5,2,20,39
5,2,16,168
5,3,19,55
5,3,20,174
5,3,15,231
5,3,7,42
5,3,16,66
5,4,5,90
5,4,6,195
5,4,7,75
5,4,8,50
5,4,11,150
5,4,13,11
5,4,15,103
5,4,19,1602
5,4,21,19
5,4,22,25
5,5,7,4
5,5,10,108
5,5,11,122
5,5,16,2
5,6,8,176486
5,6,9,188
5,6,10,27
5,6,11,2
5,6,19,15
5,7,10,51
5,7,11,287
5,7,15,6
5,8,9,10
5,8,19,41
5,8,11,51
5,9,19,608
5,9,12,196
5,10,16,5
5,12,13,2368
5,12,14,346
5,12,15,16449
5,12,19,7127
5,12,21,15
5,13,14,40
5,13,18,159
5,13,19,996
5,13,21,356
5,14,21,181
5,14,22,148
5,14,15,21
5,15,18,31
5,15,19,4652
5,15,21,64
5,15,22,2
5,16,17,121
5,16,20,16304
5,17,20,269
5,18,19,301
5,18,22,34
5,19,21,827
6,1,3,226
6,1,4,437
6,1,7,602
6,1,9,573
6,1,11,14
6,1,12,39
6,1,13,288
6,1,18,57
6,1,19,1424
6,1,21,78
6,2,17,83
6,2,3,29
6,2,20,1428
6,2,6,26
6,2,16,93
6,3,6,16
6,3,7,4
6,3,8,51
6,3,16,115
6,3,17,950
6,3,19,224
6,3,20,451
6,4,6,19
6,4,7,67
6,4,8,110
6,4,12,41
6,4,13,18
6,4,18,307
6,4,20,18
6,4,22,8
6,5,10,154
6,5,7,33
6,6,8,97855
6,6,9,1230
6,6,10,19
6,6,11,110
6,6,17,7
6,6,19,2963
6,6,20,201
6,7,8,302
6,7,10,45036
6,7,19,205
6,8,9,4649
6,8,11,233
6,8,16,13
6,8,19,7021
6,8,20,88
6,9,19,170
6,9,21,17
6,10,11,4
6,10,19,267
6,11,19,522
6,12,13,23
6,12,14,166
6,12,15,9595
6,12,18,104
6,12,19,993
6,12,21,164
6,12,22,3262
6,13,15,91
6,13,18,10
6,13,19,1060
6,13,21,579
6,13,22,62
6,14,21,7
6,14,22,1048
6,15,21,988
6,15,19,4667
6,16,17,67
6,16,20,33113
6,17,20,2307
6,18,19,474
6,18,22,1839
6,19,21,3209
6,19,22,76
7,1,2,7
7,1,3,282
7,1,4,467
7,1,5,137
7,1,6,3011
7,1,7,92
7,1,8,2245
7,1,10,11
7,1,11,477
7,1,12,1781
7,1,13,4289
7,1,15,39
7,1,17,170
7,1,18,56
7,1,19,85
7,2,6,27
7,2,8,408
7,2,10,33
7,2,11,60
7,2,16,17
7,2,17,10
7,2,20,595
7,3,6,15
7,3,8,17
7,3,10,43
7,3,16,6
7,3,17,54200
7,3,20,139
7,4,5,80
7,4,6,213
7,4,7,18
7,4,9,637
7,4,10,30
7,4,13,283
7,4,15,1778
7,4,16,22
7,4,18,6
7,5,10,44
7,5,7,292
7,5,8,22
7,6,7,321
7,6,8,212339
7,6,9,761
7,6,10,19
7,6,11,106
7,6,13,43
7,6,15,9
7,6,19,45563
7,6,21,171
7,7,8,2892
7,7,9,78
7,7,11,137
7,8,9,442
7,8,13,1145
7,8,19,2787
7,8,22,23
7,9,13,52
7,9,19,26
7,10,11,3
7,12,13,1934
7,12,14,12
7,12,15,25064
7,12,17,20
7,12,18,18
7,12,19,6215
7,12,21,361
7,13,15,143
7,13,18,73
7,13,19,102
7,13,21,110
7,14,17,90
7,14,21,2050
7,14,22,83
7,15,17,27
7,15,19,90780
7,15,21,449
7,16,20,91605
7,17,20,865
7,18,19,422
7,18,21,29
7,18,22,5
7,19,21,4326
8,1,4,207
8,1,6,1092
8,1,7,5
8,1,8,4154
8,1,9,95
8,1,11,8
8,1,13,1397
8,1,16,27
8,1,19,1330
8,2,20,382
8,2,3,96
8,2,16,185
8,2,8,63
8,3,20,3
8,3,16,36
8,4,19,10
8,4,20,5
8,4,13,3
8,5,10,10
8,5,19,25
8,5,7,36
8,6,8,278980
8,6,12,49
8,6,13,112
8,6,19,59894
8,6,21,10
8,7,10,42
8,7,11,34
8,7,19,103
8,8,9,2575
8,8,13,463
8,8,19,15460
8,8,21,220
8,9,21,55
8,9,13,5
8,12,14,246
8,12,15,40023
8,12,17,441
8,12,18,27
8,12,19,10708
8,12,21,488
8,12,22,98
8,13,18,10
8,13,19,2
8,14,15,189
8,14,17,237
8,14,18,8
8,14,19,302
8,14,21,927
8,14,22,3
8,15,17,54
8,15,19,2335
8,15,21,449
8,16,17,86
8,16,18,146
8,16,20,111107
8,17,20,41
8,18,19,16
8,18,22,2
8,19,21,9108
8,19,22,5
9,1,3,6
9,1,4,236
9,1,5,102
9,1,6,85
9,1,8,2735
9,1,9,210
9,1,12,7
9,1,15,14
9,1,19,808
9,1,21,28
9,2,20,1192
9,2,16,879
9,3,4,23
9,3,6,12
9,3,7,43
9,3,16,284
9,3,20,1160
9,4,8,1087
9,4,15,41
9,4,19,27
9,4,21,4
9,4,22,19
9,5,10,5
9,5,7,45
9,6,8,221146
9,6,15,28
9,6,19,13844
9,6,21,26
9,7,10,97
9,7,8,85
